1;41.85;34.79;0.402;284.96;1991
2;74.5;45.32;0.37;211.98;1991
3;43.72;19.25;0.472;378.57;1991
4;50.36;23.82;0.43;345.82;1991
5;70.87;35.3;0.386;234.57;1991
6;63.13;37.38;0.405;219.83;1991
7;27.35;9.24;0.616;916;1991
8;34.98;17.98;0.505;377.38;1991
9;29.53;18.39;0.487;410.55;1991
10;81.97;41.44;0.357;156.47;1991
11;34.73;16.83;0.488;433.21;1991
12;33.64;19.52;0.449;395.34;1991
13;35.39;18.19;0.478;373.85;1991
14;74.47;41.72;0.382;196.59;1991
15;38.69;14.85;0.507;439.09;1991
16;52.55;24.39;0.413;273.22;1991
17;62.55;34.34;0.44;275.49;1991
18;64.73;41.67;0.362;167.03;1991
19;29.94;9.72;0.573;608.8;1991
20;67.93;36.32;0.428;240.33;1991
21;22.53;10.12;0.542;507.61;1991
22;42.41;20.29;0.407;304.9;1991
23;49.25;20.62;0.459;437.24;1991
24;24.84;9.91;0.543;449.78;1991
25;27.31;10.16;0.578;746.22;1991
26;65.76;36;0.408;247.78;1991
27;63.65;31.42;0.369;243.58;1991
1;30.36;24.49;0.517;360.63;2000
2;48.96;33.39;0.471;285.29;2000
3;31.62;12.1;0.577;424.57;2000
4;37.95;15.5;0.515;351.63;2000
5;41.81;23.15;0.512;322.04;2000
6;41.43;26.54;0.541;310.21;2000
7;20.71;5.68;0.725;1199.44;2000
8;23.45;11.67;0.64;574.17;2000
9;24.44;11.93;0.615;571.49;2000
10;46.53;28.39;0.476;218.27;2000
11;25.53;11.19;0.613;576.33;2000
12;27.53;12.36;0.601;582.62;2000
13;27.75;11.96;0.624;548.87;2000
14;43.3;29.71;0.506;299.09;2000
15;20.3;9.53;0.65;638.27;2000
16;33.05;16.77;0.518;335.76;2000
17;47.31;24.5;0.544;367.31;2000
18;41.87;30.51;0.484;254.78;2000
19;21.21;6.64;0.664;826.04;2000
20;43.27;25.43;0.552;351.01;2000
21;16.71;6.65;0.664;708.12;2000
22;30.38;12.97;0.537;467.16;2000
23;29.03;13.49;0.598;462.18;2000
24;16.79;6.32;0.674;693.82;2000
25;19.35;6.64;0.702;882.4;2000
26;42.97;25.16;0.518;326.67;2000
27;36.48;18.78;0.525;344.41;2000
1;23.01;16.48;0.663;522.15;2010
2;28.4;24.33;0.631;432.56;2010
3;15.14;8.4;0.708;598.98;2010
4;17.01;9.84;0.674;539.8;2010
5;21.73;16.58;0.66;496.73;2010
6;19.29;18.74;0.682;460.63;2010
7;14.01;3.47;0.824;1715.11;2010
8;14.15;8.12;0.74;815.43;2010
9;13.96;7.94;0.735;810.97;2010
10;28.03;20.87;0.639;360.34;2010
11;18.14;7.67;0.729;799.34;2010
12;16.8;8.48;0.725;762.52;2010
13;15.08;8.31;0.731;749.69;2010
14;21.67;21.91;0.658;474.94;2010
15;13.08;6.28;0.749;890.89;2010
16;20.29;11.74;0.646;446.76;2010
17;20.43;18;0.673;525.64;2010
18;23.05;22.92;0.646;416.93;2010
19;14.15;4.27;0.761;1039.3;2010
20;19.7;18.54;0.684;545.42;2010
21;12.38;4.52;0.746;959.24;2010
22;18.02;8.73;0.69;670.82;2010
23;16.11;10.33;0.707;605.59;2010
24;11.54;4.13;0.774;983.9;2010
25;13.86;4.32;0.783;1084.46;2010
26;22.22;18.4;0.665;523.53;2010
27;19.56;13.09;0.699;586.62;2010
